gene_a,gene_b,fr_label,sl_label,source_GI_flag,PC9_GI_flag,HeLa_GI_flag,PC9_GI_score,PC9_GI_fdr,HeLa_GI_score,HeLa_GI_fdr
SLC18A2,SLC18A1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.105891749444422,0.661727740674682,-0.275345907808094,0.0834123328667294
CXCR2,CXCR1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.104984029180372,0.7665111166254,0.184941947131157,0.302523175752597
PREX2,PREX1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.103771585225243,0.683197111837713,0.0535513698366518,0.665431112098983
CADPS2,CADPS,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.101995934274576,0.635806371615438,-0.0577054633137083,0.680604149978303
SLC6A3,SLC6A2,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.101647729613871,0.500733850951878,0.0106584079562618,0.957951659422019
SFRP5,SFRP1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0991243605093572,0.666441333696052,-0.121839745924037,0.167707802248726
RING1,RNF2,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0990967243536072,0.650889873614964,-0.0976134186754398,0.468686070623177
IPO8,IPO7,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0986654959677373,0.758641079117611,-0.145569513137737,0.660447689115517
ABCC8,ABCC9,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.098517073781951,0.68099766706196,0.138405300425077,0.378648184133046
KLF7,KLF6,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.098381723750873,0.635806371615438,-0.0267841882424925,0.800240802258979
MOGAT2,MOGAT1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0980408224229008,0.716417681229574,-0.0137445474557257,0.908200540030752
SDSL,SDS,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0978869695849376,0.670328765731792,-0.045235004384442,0.576612543901859
SOS2,SOS1,FR_negative,True,synthetic_lethal,neither_in_PC9,SL_in_HeLa,-0.0974708853739791,0.750000238520529,-0.929326289043155,0.00155905740962722
GABPB2,GABPB1,FR_negative,True,synthetic_lethal,neither_in_PC9,SL_in_HeLa,-0.0963206422792739,0.714119629755693,-0.519746252287298,0.0288069663788996
HTR1D,HTR1B,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0942961121534199,0.735278443552018,-0.0628984400879606,0.576925952472835
CHRNB2,CHRNB4,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0932880650254103,0.697806781729485,0.0492416181452163,0.770087867958551
CIB3,CIB2,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0927909144260499,0.547616974657323,0.0326766476314414,0.896043625925117
IDI2,IDI1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0927117818854236,0.75571514214567,-0.0562595395446531,0.539170520319889
TLR6,TLR1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0921540281694603,0.681949339269968,-0.364522777080998,0.0463729894372626
CCDC74B,CCDC74A,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0920690875466099,0.808346857223001,-0.225953925697346,0.325351950962601
CTPS2,CTPS1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0902628842144757,0.714119629755693,-0.0252616638896756,0.939565667944299
CNOT6L,CNOT6,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0902459674948993,0.761814763698231,-0.440387304916946,0.0917220013060675
CHRM4,CHRM2,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0900403230932959,0.7665111166254,0.0414390284269762,0.827887148529862
AMELX,AMELY,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0894351165679531,0.682335513946875,0.0805148072943921,0.69328496856361
CACNG7,CACNG5,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0893250735416541,0.714119629755693,0.268955363285829,0.24715317183668
KHDRBS3,KHDRBS2,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0893154260472788,0.666441333696052,0.278802811700936,0.208820277693774
GLS2,GLS,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.087796231510804,0.813869054972289,-0.438359713452935,0.0846499392454744
NAPB,NAPA,FR_positive,False,buffering,neither_in_PC9,buffering_in_HeLa,-0.0874701887256264,0.791574640419193,0.543138268279852,0.00244231746296761
DSCAML1,DSCAM,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0869816166150834,0.614327743824605,-0.00308959256592167,0.960769784696402
CHRFAM7A,CHRNA7,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0857923944261912,0.681102177391224,-0.140613085946982,0.377806085440341
ATP6V1B1,ATP6V1B2,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.084787085565273,0.824283504737409,0.0355022565748885,0.943753412487464
KCNK13,KCNK12,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0846670844998196,0.600674515681081,-0.0400311532980941,0.800240802258979
CSAD,GADL1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0843595567647777,0.718752170971682,0.249755763431213,0.310325804540642
RANBP10,RANBP9,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.08304902458259,0.824102910112081,0.202630591547202,0.332518327881287
TAF9B,TAF9,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0822025657379542,0.767584511722897,-0.0328620562848962,0.896343238992563
ARAF,RAF1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0821368231436042,0.731916116563478,0.0923894427344316,0.5820021233887
ARHGEF3,NET1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0810645592964579,0.670328765731792,-0.103908093575028,0.247496400449768
WFIKKN2,WFIKKN1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0801586187479994,0.736913968517474,-3.64130683173646e-05,0.984954094108547
RAB33B,RAB33A,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0799409876146486,0.768477209938714,-0.152227363639202,0.231389044122647
SLC25A14,SLC25A30,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0789204225152668,0.682589269453393,-0.148366811836431,0.576255564887689
GNPDA2,GNPDA1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0763888249870705,0.703243265844536,0.258685213739381,0.145418623046849
CD200R1L,CD200R1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0763238805752685,0.75328305869486,0.0398691827944331,0.840752526141588
CUL4B,CUL4A,FR_negative,True,synthetic_lethal,neither_in_PC9,SL_in_HeLa,-0.0753074518757057,0.88203940042494,-0.72082884742315,0.0288069663788996
